sample_id	latitude	longitude
SAMEA2623155	35.3038	-127.7322
SAMEA2622678	-8.97545	-139.2412
SAMN05991698	22.75	-158.0
SAMN03943734	26.0059	-92.3661
SAMN08714533	22.2	39.04
SAMEA2622219	-5.25725	-85.3038
SAMEA2622402	-1.87535	-84.6292
SAMN05991708	22.75	-158.0
SAMEA2623826	35.8192	-37.1262
SAMEA2622696	-8.98475	-139.1835
SAMEA2620734	-17.4256	42.2427
SAMEA2620756	-22.3388	40.3428
SAMEA2622657	-8.9846	-139.2352
SAMEA2623370	6.3366	-102.9942
SAMEA2621066	-20.4034	-3.1884
SAMEA2623059	31.5072	-159.0282
SAMN05991650	22.75	-158.0
SAMN05991707	22.75	-158.0
SAMN05991700	22.75	-158.0
SAMEA2620194	14.553	69.9888
SAMN04574157	10.91	-44.6678
SAMN05991680	22.75	-158.0
SAMN05991714	22.75	-158.0
SAMN05991722	22.75	-158.0
SAMEA2620786	-29.5021	37.9927
SAMEA104210868	33.454	-118.475
SAMEA104210876	33.55	-118.4
SAMEA2622316	2.0262	-84.5648
SAMEA4699812	42.52	3.18
SAMN07137001	22.75	-158.0
SAMN07137034	22.75	-158.0
SAMN05991693	22.75	-158.0
SAMN02954150	38.0685	-0.231994
SAMEA104210873	33.71	-118.254
SAMEA104210874	33.71	-118.254
SAMN09091903	33.55	-118.4
SAMN05224532	48.59166667	-123.505
SAMN05224402	48.59166667	-123.505
SAMEA4396971	67.1705	0.44225
SAMEA2621423	-47.1608	-57.8856
SAMEA2623919	43.7711	-16.9072
SAMEA4398341	64.7299	-53.0583
SAMEA4398370	61.532	-55.9921
SAMEA2622074	-21.1508	-104.8044
SAMEA2591074	37.0469	1.94895
SAMEA2620230	6.00625	73.897
SAMN07136485	49.7225	-42.4467
SAMN07136484	49.7225	-42.4467
SAMEA2620542	-17.0978	53.9788
SAMEA2619927	20.8167	63.5046
SAMEA2619952	20.821	63.5136
SAMEA2620651	-15.3367	43.2936
